person_id,person_trip_id,trip_list_id_num,trace,pathdir,pathmode,pf_iteration,pathnum,pf_cost,pf_fare,pf_probability,pf_initcost,pf_initfare,description,chosen,bump_iter,missed_xfer,sim_cost,ln_PS,logsum_component,logsum,probability,iteration,pathfinding_iteration,simulation_iteration
Serge Zwikker,1,8,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Dante Calabria,1,9,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Shammond Williams,1,10,False,2,transit,1.0100000000,0,84.0000000000,0.0000000000,1.0000000000,84.0000000000,0.0000000000,O walk_access E local_bus Orange_O1 F walk_egress D,iter1.01 sim0,,0,84.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1,2,2
Mrs. Wuf,1,11,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Mrs. Wuf,1,11,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Mrs. Wuf,1,11,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,unchosen,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000002174,0.4330302780,1,2,2
Mrs. Wuf,1,11,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000002174,0.0000000000,1,2,2
Marcus Melvin,1,12,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Marcus Melvin,1,12,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000001558,0.3956439237,1,2,2
Marcus Melvin,1,12,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000001558,0.6043560763,1,2,2
Marcus Melvin,1,12,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Archie Miller,1,13,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Archie Miller,1,13,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Archie Miller,1,13,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,unchosen,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000002174,0.4330302780,1,2,2
Archie Miller,1,13,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000002174,0.0000000000,1,2,2
Julius Hodge,1,14,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Julius Hodge,1,14,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Julius Hodge,1,14,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,unchosen,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000002174,0.4330302780,1,2,2
Julius Hodge,1,14,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000002174,0.0000000000,1,2,2
Illian Evtimov,1,15,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Illian Evtimov,1,15,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000002174,0.2834848610,1,2,2
Illian Evtimov,1,15,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,unchosen,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000002174,0.4330302780,1,2,2
Illian Evtimov,1,15,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000002174,0.0000000000,1,2,2
Scooter Sherrill,1,16,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Scooter Sherrill,1,16,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000001558,0.3956439237,1,2,2
Scooter Sherrill,1,16,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000001558,0.6043560763,1,2,2
Scooter Sherrill,1,16,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Josh Powell,1,17,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Josh Powell,1,17,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000001558,0.3956439237,1,2,2
Josh Powell,1,17,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000001558,0.6043560763,1,2,2
Josh Powell,1,17,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Anthony Grundy,1,18,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,0.3278917438,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Anthony Grundy,1,18,False,2,transit,1.0200000000,1,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G3 C2 walk_egress D,unchosen,,0,32.0000000000,-1.2039728043,0.0000000616,0.0000001558,0.3956439237,1,2,2
Anthony Grundy,1,18,False,2,transit,1.0200000000,2,32.0000000000,0.0000000000,0.3278917438,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B1 local_bus Red_R2 C1 walk_egress D,iter1.02 sim0,,0,32.0000000000,-0.3566749439,0.0000000942,0.0000001558,0.6043560763,1,2,2
Anthony Grundy,1,18,False,2,transit,1.0200000000,3,38.0000000000,0.0000000000,0.0163247687,38.0000000000,0.0000000000,O walk_access A local_bus Blue_B2 B transfer B2 local_bus Green_G4 C2 walk_egress D,unchosen,0.0000000000,0,119988.0000000000,-1.2039728043,0.0000000000,0.0000001558,0.0000000000,1,2,2
Mike K.,1,19,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Jeff Capel,1,20,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Grant Hill,1,21,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Bobby Hurley,1,22,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Christian Laettner,1,23,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Carlos Boozer,1,24,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,iter1.02 sim0,,0,32.0000000000,0.0000000000,0.0000001125,0.0000001125,1.0000000000,1,2,2
Jayson Williams,1,25,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,rejected,0.0000000000,0,119988.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,2,2
Shane Battier,1,26,False,2,transit,1.0200000000,0,32.0000000000,0.0000000000,1.0000000000,32.0000000000,0.0000000000,O walk_access A local_bus Blue_B3 B transfer B2 local_bus Green_G4 C2 walk_egress D,rejected,0.0000000000,0,119988.0000000000,0.0000000000,0.0000000000,0.0000000000,,1,2,2
